id,x,y,name
113,-37.932762,-1.1101325,Organic Quinoa Coconut Granola With Mango
115,-44.300095,-12.418272,Peanut Butter Power Chews
117,-23.840609,-33.55587,Organic Unswt Berry Coconut Granola
118,-4.3108373,-22.971298,Roasted Salted Black Pepper Cashews
125,-23.827831,-33.567883,"Organic Unsweetened Granola, Cinnamon Almond"
126,-37.2522,-1.9921955,Organic Blueberry Almond Granola
128,-45.088158,-0.5173237,Aunt Maple's Crunchy Granola
133,-39.168648,-1.469281,Aunt Ginger's Snappy Granola
134,-41.619293,-12.325705,Dark Chocolate Sea Salt & Turbinado Almonds
135,-38.04543,-0.99682456,Divinely Organic Granola
155,-20.026182,-25.010916,Coconut Almond Granola
158,-20.241142,-25.864605,Maple Almond Granola
159,-44.075462,-2.0735123,35% Fruit And Fiber Muesli
216,-41.03022,0.6780371,8-Grain Wheat Free Cereal
445,10.984621,11.679902,Muffin
446,15.410681,-22.020142,Freshly Baked Italian Loaf
451,-30.71286,13.858858,Pineapple Coconut Muffins
453,-19.356083,14.983732,Freshly Baked Chocolat Croissant
454,-15.674591,17.077898,Cornbread
670,25.335804,-11.682531,Original Buttery Spread
671,9.643542,37.14894,"Buttery Spread, With Flaxseed Oil"
685,-35.05432,27.227234,Magic Stars Chocolates
689,-32.9949,28.29723,"Mini Gingerbread Men, Milk Chocolate"
694,-31.362558,-10.564866,Organic Flourless Sprouted 7-Grain Bread
699,-4.741659,-23.12858,Puppodums
711,-21.13789,-39.419193,Monterey Jack
715,9.704306,-7.9150395,"Bakers Best, White Bread"
716,9.517808,-8.0819,"Bakers Best, Rye Bread"
724,-31.539225,28.385616,"Piasten, Chocolate Assortment"
728,17.745882,22.65256,Sweet 'N' Hot Salad Peppers
729,-12.444953,22.304377,"Big Papa's, Southern Sauce"
757,-39.369495,10.301071,"Ice Cream, Butter Pecan"
782,-31.018265,30.820597,"Williams, Liquor Chocolate With Williams Pear"
883,24.76616,20.342424,"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry"
894,8.918623,41.538128,"Hfb Candy, Jelly Fish Candy"
922,-9.641985,36.326694,"Star Wars, Fruit Gummies"
923,10.189684,41.096634,Gummies
931,-54.65544,-0.049654443,Exploding Candy
